bit,candidate_count,support_fraction,entropy_nats,entropy_bits,peak_probability,target_bucket_start,target_bucket_end
1.0,8388608.0,0.5,15.317036577833607,22.097812711955402,3.1765452734810603e-07,8388608.0,16777216.0
2.0,4194304.0,0.25,15.180931843930315,21.901455087311614,3.314554694746925e-07,8388608.0,12582912.0
3.0,2097152.0,0.125,14.548596770452564,20.989188412625104,5.312385178387884e-07,8388608.0,10485760.0
4.0,1048576.0,0.0625,13.862657124664695,19.999586687297814,9.75911124226726e-07,9437184.0,10485760.0
5.0,524288.0,0.03125,13.169743206104373,18.9999232132279,1.9251691689000676e-06,9437184.0,9961472.0
6.0,262144.0,0.015625,12.476648570543048,17.99999901963683,3.819563029718747e-06,9699328.0,9961472.0
7.0,131072.0,0.0078125,11.783501596931215,16.999999318199844,7.637055716614397e-06,9830400.0,9961472.0
8.0,65536.0,0.00390625,11.090354867757345,15.999999969412297,1.526180823760416e-05,9830400.0,9895936.0
9.0,32768.0,0.001953125,10.397207707829804,14.999999999178565,3.051849995629887e-05,9830400.0,9863168.0
10.0,16384.0,0.0009765625,9.704060527826272,13.999999999981299,6.10354764195561e-05,9830400.0,9846784.0
11.0,8192.0,0.00048828125,9.010913347274315,12.999999999992824,0.00012207067980635701,9838592.0,9846784.0
12.0,4096.0,0.000244140625,8.31776616671922,11.999999999999822,0.00024414073437911926,9838592.0,9842688.0
13.0,2048.0,0.0001220703125,7.624618986159394,10.999999999999995,0.0004882812926577034,9838592.0,9840640.0
14.0,1024.0,6.103515625e-05,6.931471805599452,9.999999999999998,0.0009765625368493784,9839616.0,9840640.0
15.0,512.0,3.0517578125e-05,6.238324625039508,9.0,0.001953125009881498,9839616.0,9840128.0
16.0,256.0,1.52587890625e-05,5.545177444479561,7.999999999999999,0.003906250012087381,9839616.0,9839872.0
17.0,128.0,7.62939453125e-06,4.852030263919617,7.0,0.007812500003779555,9839744.0,9839872.0
18.0,64.0,3.814697265625e-06,4.158883083359672,6.000000000000001,0.015625000001199315,9839808.0,9839872.0
19.0,32.0,1.9073486328125e-06,3.465735902799727,5.000000000000001,0.03125000000174072,9839808.0,9839840.0
20.0,16.0,9.5367431640625e-07,2.772588722239781,4.0,0.0625000000006305,9839824.0,9839840.0
21.0,8.0,4.76837158203125e-07,2.079441541679836,3.0000000000000004,0.12500000000016448,9839832.0,9839840.0
22.0,4.0,2.384185791015625e-07,1.3862943611198906,2.0,0.2500000000001097,9839836.0,9839840.0
23.0,2.0,1.1920928955078125e-07,0.6931471805599453,1.0,0.5,9839836.0,9839838.0
24.0,1.0,5.960464477539063e-08,-0.0,-0.0,1.0,9839836.0,9839837.0
